TaskID,PersonID,MatchScore,Assigned,Title,Description,StoryPoints,RequiredSkills,Priority,Sprint,EstimatedHours,Name,Role,Skills,MaxHoursPerWeek,TimeZone,SleepingPoint,Availability
T0095,P009,0.66,0,Task 95,Implement feature 95,4,"Node.js, Agile",Medium,3,8,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0054,P009,0.66,0,Task 54,Implement feature 54,2,"Kubernetes, Agile",Medium,2,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0039,P009,0.36,0,Task 39,Implement feature 39,1,"React, SQL",Medium,3,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0046,P009,0.76,1,Task 46,Implement feature 46,3,"Selenium, Django, Agile",Low,1,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0110,P009,0.36,0,Task 110,Implement feature 110,4,"Git, CI/CD",Critical,5,8,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0055,P009,0.96,1,Task 55,Implement feature 55,2,"Python, Django",Critical,4,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0003,P009,0.36,0,Task 3,Implement feature 3,11,Selenium,Critical,2,8,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0065,P009,0.96,1,Task 65,Implement feature 65,1,Django,Medium,2,8,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0018,P009,0.66,0,Task 18,Implement feature 18,11,"SQL, Python",High,4,14,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0143,P009,0.36,0,Task 143,Implement feature 143,4,"React, Kubernetes",Critical,4,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0085,P009,0.96,1,Task 85,Implement feature 85,5,Agile,Medium,4,7,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0120,P009,0.56,0,Task 120,Implement feature 120,4,"Node.js, Django, Selenium",Low,4,7,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0038,P009,0.36,0,Task 38,Implement feature 38,10,"Kubernetes, SQL",Low,4,10,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0094,P009,0.36,0,Task 94,Implement feature 94,11,"Selenium, Git, Node.js",Medium,3,10,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0015,P009,0.36,0,Task 15,Implement feature 15,9,React,Low,2,6,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0091,P009,0.76,1,Task 91,Implement feature 91,5,"Node.js, Django, Agile",Low,2,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0037,P009,0.66,0,Task 37,Implement feature 37,1,"Python, Selenium",Low,5,17,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0022,P009,0.96,1,Task 22,Implement feature 22,5,Agile,Low,2,12,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0071,P009,0.36,0,Task 71,Implement feature 71,8,"Kubernetes, React, SQL",Low,4,15,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0107,P009,0.36,0,Task 107,Implement feature 107,11,"Git, Node.js, React",Medium,2,13,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0008,P009,0.36,0,Task 8,Implement feature 8,3,SQL,High,4,11,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0006,P009,0.36,0,Task 6,Implement feature 6,11,"Git, React",Low,1,16,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
T0063,P009,0.36,0,Task 63,Implement feature 63,5,"Selenium, SQL",Low,4,4,Person_9,DevOps,"Agile, Django, Python",30,UTC+0,0.99,0.82
